"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,136350143,"FC3"
"2","20160501OB-UV-2","Ocimene",14.001,11175486,"FC3"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"FC3"
"4","20160501OB-UV-2","terpinolene",15.882,2631138,"FC3"
"5","20160501OB-UV-2","linalool",16.701,326744390,"FC3"
"6","20160501OB-UV-2","camphor",18.747,2559666,"FC3"
"7","20160501OB-UV-2","endo-borneol",19.99,9090572,"FC3"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,1870923,"FC3"
"9","20160501OB-UV-2","alpha-terpineol",21.169,13537634,"FC3"
"10","20160501OB-UV-2","octyl acetate",22.111,NA,"FC3"
"11","20160501OB-UV-2","chavicol",23.917,NA,"FC3"
"12","20160501OB-UV-2","bornyl acetate",25.34,13770113,"FC3"
"13","20160501OB-UV-2","gamma-elemene",27.455,3382769,"FC3"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"FC3"
"15","20160501OB-UV-2","eugenol",28.48,1005995073,"FC3"
"16","20160501OB-UV-2","alpha-copaene",29.346,2156451,"FC3"
"17","20160501OB-UV-2","beta-elemene",29.659,1712415,"FC3"
"18","20160501OB-UV-2","sesquiterpene a",29.978,29310313,"FC3"
"19","20160501OB-UV-2","methyleugenol",30.5,1692277,"FC3"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"FC3"
"21","20160501OB-UV-2","beta-ylangene",31.129,3254676,"FC3"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,111416471,"FC3"
"23","20160501OB-UV-2","alpha-copaene",32.28,3092957,"FC3"
"24","20160501OB-UV-2","humulene",32.644,8156490,"FC3"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,7929975,"FC3"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,5967282,"FC3"
"27","20160501OB-UV-2","Germacrene D",33.71,23701149,"FC3"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,14232604,"FC3"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,23469217,"FC3"
"30","20160501OB-UV-2","gamma-cadinene",35.038,30017221,"FC3"
"31","20160501OB-UV-2","delta-cadinene",35.284,3763699,"FC3"
"32","20160501OB-UV-2","sesquiterpene b",35.55,1648926,"FC3"
"33","20160501OB-UV-2","alpha-cadinene",35.97,NA,"FC3"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"FC3"
"35","20160501OB-UV-2","epicubenol",38.984,2432748,"FC3"
"36","20160501OB-UV-2","tau-cadinol",40.008,20276472,"FC3"
