"","EXP.ID","COMPOUND","RT","ABUNDANCE","PROFILE.ID"
"1","20160501OB-UV-2","Eucalyptol",13.147,203707039,"PL2"
"2","20160501OB-UV-2","Ocimene",14.001,30369251,"PL2"
"3","20160501OB-UV-2","gamma-terpinene",14.494,NA,"PL2"
"4","20160501OB-UV-2","terpinolene",15.882,5559693,"PL2"
"5","20160501OB-UV-2","linalool",16.701,670861775,"PL2"
"6","20160501OB-UV-2","camphor",18.747,1918269,"PL2"
"7","20160501OB-UV-2","endo-borneol",19.99,16977665,"PL2"
"8","20160501OB-UV-2","terpinen-4-ol",20.432,2294519,"PL2"
"9","20160501OB-UV-2","alpha-terpineol",21.169,18765072,"PL2"
"10","20160501OB-UV-2","octyl acetate",22.111,NA,"PL2"
"11","20160501OB-UV-2","chavicol",23.917,NA,"PL2"
"12","20160501OB-UV-2","bornyl acetate",25.34,22069283,"PL2"
"13","20160501OB-UV-2","gamma-elemene",27.455,5313665,"PL2"
"14","20160501OB-UV-2","alpha-cubebene",28.129,NA,"PL2"
"15","20160501OB-UV-2","eugenol",28.48,1126626121,"PL2"
"16","20160501OB-UV-2","alpha-copaene",29.346,3497752,"PL2"
"17","20160501OB-UV-2","beta-elemene",29.659,3905689,"PL2"
"18","20160501OB-UV-2","sesquiterpene a",29.978,41764070,"PL2"
"19","20160501OB-UV-2","methyleugenol",30.5,2414978,"PL2"
"20","20160501OB-UV-2","trans-alpha-bergamotene",31,NA,"PL2"
"21","20160501OB-UV-2","beta-ylangene",31.129,4818510,"PL2"
"22","20160501OB-UV-2","cis-alpha-bergamotene",31.879,135474888,"PL2"
"23","20160501OB-UV-2","alpha-copaene",32.28,3635407,"PL2"
"24","20160501OB-UV-2","humulene",32.644,12200848,"PL2"
"25","20160501OB-UV-2","cis-beta-farnesene",32.767,11555794,"PL2"
"26","20160501OB-UV-2","cis-muurola-4(15),5-diene",32.925,8625399,"PL2"
"27","20160501OB-UV-2","Germacrene D",33.71,30471444,"PL2"
"28","20160501OB-UV-2","bicyclogermacrene",34.367,21277721,"PL2"
"29","20160501OB-UV-2","alpha-bulnesene",34.592,32845522,"PL2"
"30","20160501OB-UV-2","gamma-cadinene",35.038,40756070,"PL2"
"31","20160501OB-UV-2","delta-cadinene",35.284,6730039,"PL2"
"32","20160501OB-UV-2","sesquiterpene b",35.55,2180539,"PL2"
"33","20160501OB-UV-2","alpha-cadinene",35.97,1687582,"PL2"
"34","20160501OB-UV-2","nerolidol",37.08,NA,"PL2"
"35","20160501OB-UV-2","epicubenol",38.984,5386858,"PL2"
"36","20160501OB-UV-2","tau-cadinol",40.008,41361288,"PL2"
