,EXP.ID,COMPOUND,RT,ABUNDANCE,PROFILE.ID
,20160515OB-UVC-1,β-Pinene,10.874,42103474,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,β-Myrcene,11.712,24416585,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,Eucalyptol,13.51,360768024,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,β-cis-Ocimene,14.506,58467832,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,Terpinolene,16.388,16969901,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,Linalool,17.086,588500055,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,d-Camphor,19.026,12599306,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,endo-Borneol,20.078,19494229,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,Terpinen-4-ol,20.669,6752617,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,α-Terpineol,21.32,39468950,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,Bornyl acetate,25.781,23194107,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,sesquiterpene a,28.041,21684105,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,Eugenol,29.151,2296956995,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,Copaene,29.729,12011981,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,trans-Methyl cinnamate,30.02,8398939,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,sesquiterpene b,30.144,,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,β-Elemene,30.446,77110332,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,Methyleugenol,31.083,221758941,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,β-ylangene,31.525,21962282,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,sesquiterpene c,31.942,6860013,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,trans-α-Bergamotene,32.311,379546484,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,caryophyllene,32.582,8159858,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,sesquiterpene d,32.683,13168881,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,Humulene,32.947,53829949,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,(E)-β-Famesene,33.219,101038793,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,sesquiterpene e,33.339,20687295,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,γ-Muurolene,33.934,,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,sesquiterpene f,34.086,100443169,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,Isocaryophillene,34.27,29105023,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,sesquiterpene g,34.712,51822705,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,sesquiterpene h,34.831,15983091,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,δ-Guaiene,35.108,43987328,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,β-Bisabolene,35.256,8608496,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,γ-Cadinene,35.424,76652574,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,sesquiterpene i,35.832,26977284,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,α-Cadinene,36.339,5325624,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,cubenol,39.305,9258347,20160515OB-UVC-1-U-F-1
,20160515OB-UVC-1,T-Cadinol,40.271,64246142,20160515OB-UVC-1-U-F-1
